"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"103";"0.0.0 ";"NL01  ";"2019JJ00";"803644";"671202";"311621"
"255";"0.0.0 ";"LD01  ";"2019JJ00";"63661";"52976";"21709"
"407";"0.0.0 ";"LD02  ";"2019JJ00";"142881";"120011";"57263"
"559";"0.0.0 ";"LD03  ";"2019JJ00";"426162";"354389";"166218"
"711";"0.0.0 ";"LDG4  ";"2019JJ00";;;
"863";"0.0.0 ";"LD04  ";"2019JJ00";"170743";"143630";"66241"
"1015";"0.0.0 ";"LD99  ";"2019JJ00";"197";"196";"190"
"1167";"0.0.0 ";"PV20  ";"2019JJ00";"24769";"20903";"8711"
"1319";"0.0.0 ";"PV21  ";"2019JJ00";"21963";"17642";"6863"
"1471";"0.0.0 ";"PV22  ";"2019JJ00";"16929";"14431";"6135"
"1623";"0.0.0 ";"PV23  ";"2019JJ00";"42529";"35558";"16887"
"1775";"0.0.0 ";"PV24  ";"2019JJ00";"18943";"15573";"6444"
"1927";"0.0.0 ";"PV25  ";"2019JJ00";"81409";"68880";"33932"
"2079";"0.0.0 ";"PV26  ";"2019JJ00";"64375";"56523";"30194"
"2231";"0.0.0 ";"PV27  ";"2019JJ00";"160947";"134339";"61059"
"2383";"0.0.0 ";"PV28  ";"2019JJ00";"187601";"153224";"70926"
"2535";"0.0.0 ";"PV29  ";"2019JJ00";"13239";"10303";"4039"
"2687";"0.0.0 ";"PV30  ";"2019JJ00";"117250";"98051";"46681"
"2839";"0.0.0 ";"PV31  ";"2019JJ00";"53493";"45579";"19560"
"2991";"0.0.0 ";"PV99  ";"2019JJ00";"197";"196";"190"
"3143";"0.0.0 ";"GM1680";"2019JJ00";"668";"565";"255"
"3295";"0.0.0 ";"GM0358";"2019JJ00";"1069";"927";"411"
"3447";"0.0.0 ";"GM0197";"2019JJ00";"576";"490";"239"
"3599";"0.0.0 ";"GM0059";"2019JJ00";"692";"547";"207"
"3751";"0.0.0 ";"GM0482";"2019JJ00";"611";"530";"294"
"3903";"0.0.0 ";"GM0613";"2019JJ00";"1102";"999";"564"
"4055";"0.0.0 ";"GM0361";"2019JJ00";"5392";"4680";"2168"
"4207";"0.0.0 ";"GM0141";"2019JJ00";"3673";"2938";"1266"
"4359";"0.0.0 ";"GM0034";"2019JJ00";"10291";"8383";"3479"
"4511";"0.0.0 ";"GM0484";"2019JJ00";"4026";"3294";"1646"
"4663";"0.0.0 ";"GM1723";"2019JJ00";"279";"245";"124"
"4815";"0.0.0 ";"GM1959";"2019JJ00";"1525";"1253";"738"
"4967";"0.0.0 ";"GM0060";"2019JJ00";"106";"92";"38"
"5119";"0.0.0 ";"GM0307";"2019JJ00";"7490";"6533";"3343"
"5271";"0.0.0 ";"GM0362";"2019JJ00";"3791";"3286";"1632"
"5423";"0.0.0 ";"GM0363";"2019JJ00";"80988";"65126";"28784"
"5575";"0.0.0 ";"GM0200";"2019JJ00";"7159";"5803";"2765"
"5727";"0.0.0 ";"GM0202";"2019JJ00";"11655";"9766";"4350"
"5879";"0.0.0 ";"GM0106";"2019JJ00";"3536";"2949";"1321"
"6031";"0.0.0 ";"GM0743";"2019JJ00";"653";"525";"225"
"6183";"0.0.0 ";"GM0744";"2019JJ00";"215";"185";"75"
"6335";"0.0.0 ";"GM0308";"2019JJ00";"1095";"934";"523"
"6487";"0.0.0 ";"GM0489";"2019JJ00";"2024";"1792";"1064"
"6639";"0.0.0 ";"GM0203";"2019JJ00";"1709";"1403";"718"
