"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"12";"0.0.0 ";"NL01  ";"2012JJ00";"1127874";"977746";"382202"
"164";"0.0.0 ";"LD01  ";"2012JJ00";"89275";"76883";"27177"
"316";"0.0.0 ";"LD02  ";"2012JJ00";"204778";"179508";"77521"
"468";"0.0.0 ";"LD03  ";"2012JJ00";"582793";"498887";"186980"
"620";"0.0.0 ";"LDG4  ";"2012JJ00";;;
"772";"0.0.0 ";"LD04  ";"2012JJ00";"250956";"222433";"90510"
"924";"0.0.0 ";"LD99  ";"2012JJ00";"72";"35";"14"
"1076";"0.0.0 ";"PV20  ";"2012JJ00";"35228";"29893";"10172"
"1228";"0.0.0 ";"PV21  ";"2012JJ00";"29414";"25235";"8672"
"1380";"0.0.0 ";"PV22  ";"2012JJ00";"24633";"21755";"8333"
"1532";"0.0.0 ";"PV23  ";"2012JJ00";"62245";"53223";"22176"
"1684";"0.0.0 ";"PV24  ";"2012JJ00";"25295";"21538";"8995"
"1836";"0.0.0 ";"PV25  ";"2012JJ00";"117238";"104747";"46350"
"1988";"0.0.0 ";"PV26  ";"2012JJ00";"80551";"72042";"29175"
"2140";"0.0.0 ";"PV27  ";"2012JJ00";"217755";"192712";"68301"
"2292";"0.0.0 ";"PV28  ";"2012JJ00";"263805";"216828";"83860"
"2444";"0.0.0 ";"PV29  ";"2012JJ00";"20682";"17305";"5644"
"2596";"0.0.0 ";"PV30  ";"2012JJ00";"169654";"149977";"65529"
"2748";"0.0.0 ";"PV31  ";"2012JJ00";"81302";"72456";"24981"
"2900";"0.0.0 ";"PV99  ";"2012JJ00";"72";"35";"14"
"3052";"0.0.0 ";"GM1680";"2012JJ00";"925";"802";"323"
"3204";"0.0.0 ";"GM0358";"2012JJ00";"1194";"1098";"346"
"3356";"0.0.0 ";"GM0197";"2012JJ00";"694";"610";"269"
"3508";"0.0.0 ";"GM0059";"2012JJ00";"783";"674";"265"
"3660";"0.0.0 ";"GM0482";"2012JJ00";"843";"616";"247"
"3812";"0.0.0 ";"GM0613";"2012JJ00";"1191";"1088";"593"
"3964";"0.0.0 ";"GM0361";"2012JJ00";"8891";"7881";"3779"
"4116";"0.0.0 ";"GM0141";"2012JJ00";"5185";"4236";"1757"
"4268";"0.0.0 ";"GM0034";"2012JJ00";"14242";"12325";"5189"
"4420";"0.0.0 ";"GM0484";"2012JJ00";"5905";"5343";"2396"
"4572";"0.0.0 ";"GM1723";"2012JJ00";"562";"498";"210"
"4724";"0.0.0 ";"GM1959";"2012JJ00";"2117";"1823";"935"
"4876";"0.0.0 ";"GM0060";"2012JJ00";"182";"171";"33"
"5028";"0.0.0 ";"GM0307";"2012JJ00";"10460";"9484";"3627"
"5180";"0.0.0 ";"GM0362";"2012JJ00";"4998";"4626";"1565"
"5332";"0.0.0 ";"GM0363";"2012JJ00";"100369";"87950";"26857"
"5484";"0.0.0 ";"GM0200";"2012JJ00";"11544";"10372";"4650"
"5636";"0.0.0 ";"GM0202";"2012JJ00";"14895";"13238";"5595"
