"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"142";"0.0.0 ";"NL01  ";"2022JJ00";"  799681";"  657512";"  357232"
"293";"0.0.0 ";"LD01  ";"2022JJ00";"   63445";"   52964";"   27903"
"444";"0.0.0 ";"LD02  ";"2022JJ00";"  144450";"  118500";"   66313"
"595";"0.0.0 ";"LD03  ";"2022JJ00";"  420994";"  345242";"  186735"
"746";"0.0.0 ";"LDG4  ";"2022JJ00";"       .";"       .";"       ."
"897";"0.0.0 ";"LD04  ";"2022JJ00";"  170521";"  140535";"   76010"
"1048";"0.0.0 ";"LD99  ";"2022JJ00";"     271";"     271";"     271"
"1199";"0.0.0 ";"PV20  ";"2022JJ00";"   25222";"   21178";"   11533"
"1350";"0.0.0 ";"PV21  ";"2022JJ00";"   20943";"   16982";"    8175"
"1501";"0.0.0 ";"PV22  ";"2022JJ00";"   17280";"   14804";"    8195"
"1652";"0.0.0 ";"PV23  ";"2022JJ00";"   46114";"   38369";"   21999"
"1803";"0.0.0 ";"PV24  ";"2022JJ00";"   17069";"   13726";"    6797"
"1954";"0.0.0 ";"PV25  ";"2022JJ00";"   81267";"   66405";"   37517"
"2105";"0.0.0 ";"PV26  ";"2022JJ00";"   58624";"   50281";"   30084"
"2256";"0.0.0 ";"PV27  ";"2022JJ00";"  158221";"  130813";"   69849"
"2407";"0.0.0 ";"PV28  ";"2022JJ00";"  190116";"  152790";"   81118"
"2558";"0.0.0 ";"PV29  ";"2022JJ00";"   14033";"   11358";"    5684"
"2709";"0.0.0 ";"PV30  ";"2022JJ00";"  117777";"   97079";"   53158"
"2860";"0.0.0 ";"PV31  ";"2022JJ00";"   52744";"   43456";"   22852"
"3011";"0.0.0 ";"PV99  ";"2022JJ00";"     271";"     271";"     271"
"3162";"0.0.0 ";"GM1680";"2022JJ00";"     655";"     582";"     337"
"3313";"0.0.0 ";"GM0358";"2022JJ00";"    1003";"     817";"     424"
"3464";"0.0.0 ";"GM0197";"2022JJ00";"     533";"     440";"     232"
"3615";"0.0.0 ";"GM0059";"2022JJ00";"     613";"     438";"     167"
"3766";"0.0.0 ";"GM0482";"2022JJ00";"     526";"     430";"     244"
"3917";"0.0.0 ";"GM0613";"2022JJ00";"    1014";"     856";"     506"
"4068";"0.0.0 ";"GM0361";"2022JJ00";"    5960";"    4943";"    2603"
"4219";"0.0.0 ";"GM0141";"2022JJ00";"    4334";"    3434";"    1907"
"4370";"0.0.0 ";"GM0034";"2022JJ00";"    8945";"    7155";"    3472"
"4521";"0.0.0 ";"GM0484";"2022JJ00";"    4162";"    3373";"    1782"
"4672";"0.0.0 ";"GM1723";"2022JJ00";"     284";"     253";"     141"
"4823";"0.0.0 ";"GM1959";"2022JJ00";"    1499";"    1221";"     688"
"4974";"0.0.0 ";"GM0060";"2022JJ00";"     107";"      93";"      39"
"5125";"0.0.0 ";"GM0307";"2022JJ00";"    7093";"    6018";"    3830"
"5276";"0.0.0 ";"GM0362";"2022JJ00";"    3621";"    3096";"    1641"
"5427";"0.0.0 ";"GM0363";"2022JJ00";"   76879";"   63055";"   33503"
"5578";"0.0.0 ";"GM0200";"2022JJ00";"    7074";"    5660";"    3085"
"5729";"0.0.0 ";"GM0202";"2022JJ00";"   10796";"    8564";"    4544"
"5880";"0.0.0 ";"GM0106";"2022JJ00";"    3392";"    2894";"    1785"
"6031";"0.0.0 ";"GM0743";"2022JJ00";"     618";"     487";"     255"
"6182";"0.0.0 ";"GM0744";"2022JJ00";"     212";"     186";"      91"
"6333";"0.0.0 ";"GM0308";"2022JJ00";"     879";"     715";"     390"
"6484";"0.0.0 ";"GM0489";"2022JJ00";"    1885";"    1627";"    1037"
