"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"77";"0.0.0 ";"NL01  ";"2017JJ00";"816603";"705615";"284643"
"229";"0.0.0 ";"LD01  ";"2017JJ00";"62598";"53478";"18997"
"381";"0.0.0 ";"LD02  ";"2017JJ00";"141877";"124056";"50621"
"533";"0.0.0 ";"LD03  ";"2017JJ00";"439068";"375917";"154469"
"685";"0.0.0 ";"LDG4  ";"2017JJ00";;;
"837";"0.0.0 ";"LD04  ";"2017JJ00";"172929";"152040";"60438"
"989";"0.0.0 ";"LD99  ";"2017JJ00";"131";"124";"118"
"1141";"0.0.0 ";"PV20  ";"2017JJ00";"24991";"21535";"7935"
"1293";"0.0.0 ";"PV21  ";"2017JJ00";"21380";"17970";"6071"
"1445";"0.0.0 ";"PV22  ";"2017JJ00";"16227";"13973";"4991"
"1597";"0.0.0 ";"PV23  ";"2017JJ00";"42930";"37503";"15691"
"1749";"0.0.0 ";"PV24  ";"2017JJ00";"18401";"15648";"5336"
"1901";"0.0.0 ";"PV25  ";"2017JJ00";"80546";"70905";"29594"
"2053";"0.0.0 ";"PV26  ";"2017JJ00";"66447";"60120";"28244"
"2205";"0.0.0 ";"PV27  ";"2017JJ00";"165829";"143038";"54305"
"2357";"0.0.0 ";"PV28  ";"2017JJ00";"193469";"161989";"68204"
"2509";"0.0.0 ";"PV29  ";"2017JJ00";"13323";"10770";"3716"
"2661";"0.0.0 ";"PV30  ";"2017JJ00";"117059";"102490";"42471"
"2813";"0.0.0 ";"PV31  ";"2017JJ00";"55870";"49550";"17967"
"2965";"0.0.0 ";"PV99  ";"2017JJ00";"131";"124";"118"
"3117";"0.0.0 ";"GM1680";"2017JJ00";"546";"448";"194"
"3269";"0.0.0 ";"GM0358";"2017JJ00";"1167";"1003";"421"
"3421";"0.0.0 ";"GM0197";"2017JJ00";"529";"438";"179"
"3573";"0.0.0 ";"GM0059";"2017JJ00";"645";"521";"218"
"3725";"0.0.0 ";"GM0482";"2017JJ00";"673";"582";"273"
"3877";"0.0.0 ";"GM0613";"2017JJ00";"949";"863";"414"
"4029";"0.0.0 ";"GM0361";"2017JJ00";"5782";"5103";"2014"
"4181";"0.0.0 ";"GM0141";"2017JJ00";"3856";"3362";"1348"
"4333";"0.0.0 ";"GM0034";"2017JJ00";"9908";"8469";"2905"
"4485";"0.0.0 ";"GM0484";"2017JJ00";"3690";"3101";"1403"
"4637";"0.0.0 ";"GM1723";"2017JJ00";"269";"246";"100"
"4789";"0.0.0 ";"GM1959";"2017JJ00";"1292";"1063";"556"
"4941";"0.0.0 ";"GM0060";"2017JJ00";"109";"80";"21"
"5093";"0.0.0 ";"GM0307";"2017JJ00";"7492";"6601";"2667"
"5245";"0.0.0 ";"GM0362";"2017JJ00";"4087";"3588";"1601"
"5397";"0.0.0 ";"GM0363";"2017JJ00";"85709";"72461";"26066"
"5549";"0.0.0 ";"GM0200";"2017JJ00";"7274";"6360";"2547"
"5701";"0.0.0 ";"GM0202";"2017JJ00";"11389";"10054";"3898"
"5853";"0.0.0 ";"GM0106";"2017JJ00";"3336";"2888";"1096"
"6005";"0.0.0 ";"GM0743";"2017JJ00";"677";"597";"202"
"6157";"0.0.0 ";"GM0744";"2017JJ00";"234";"208";"64"
"6309";"0.0.0 ";"GM0308";"2017JJ00";"1179";"1081";"472"
"6461";"0.0.0 ";"GM0489";"2017JJ00";"2094";"1870";"1015"
"6613";"0.0.0 ";"GM0203";"2017JJ00";"1639";"1397";"554"
"6765";"0.0.0 ";"GM0888";"2017JJ00";"937";"867";"407"
"6917";"0.0.0 ";"GM1954";"2017JJ00";"1311";"1195";"487"
"7069";"0.0.0 ";"GM0889";"2017JJ00";"344";"301";"124"
"7221";"0.0.0 ";"GM1945";"2017JJ00";"1007";"901";"380"
"7373";"0.0.0 ";"GM1724";"2017JJ00";"618";"546";"217"
"7525";"0.0.0 ";"GM0893";"2017JJ00";"323";"285";"118"
"7677";"0.0.0 ";"GM0373";"2017JJ00";"855";"770";"284"
"7829";"0.0.0 ";"GM0748";"2017JJ00";"3255";"2771";"1147"
"7981";"0.0.0 ";"GM1859";"2017JJ00";"1037";"852";"347"
"8133";"0.0.0 ";"GM1721";"2017JJ00";"877";"762";"345"
"8285";"0.0.0 ";"GM0753";"2017JJ00";"1087";"945";"363"
"8437";"0.0.0 ";"GM0209";"2017JJ00";"879";"795";"381"
"8589";"0.0.0 ";"GM0375";"2017JJ00";"1955";"1770";"559"
"8741";"0.0.0 ";"GM0310";"2017JJ00";"1563";"1442";"682"
"8893";"0.0.0 ";"GM1728";"2017JJ00";"597";"520";"205"
"9045";"0.0.0 ";"GM0376";"2017JJ00";"434";"390";"154"
"9197";"0.0.0 ";"GM0377";"2017JJ00";"927";"771";"323"
"9349";"0.0.0 ";"GM1901";"2017JJ00";"1277";"1122";"567"
"9501";"0.0.0 ";"GM0755";"2017JJ00";"226";"207";"93"
"9653";"0.0.0 ";"GM1681";"2017JJ00";"537";"460";"166"
"9805";"0.0.0 ";"GM0147";"2017JJ00";"599";"515";"237"
"9957";"0.0.0 ";"GM0654";"2017JJ00";"457";"386";"146"
"10109";"0.0.0 ";"GM0757";"2017JJ00";"1127";"999";"446"
"10261";"0.0.0 ";"GM0758";"2017JJ00";"11265";"9523";"3952"
"10413";"0.0.0 ";"GM1876";"2017JJ00";"709";"653";"296"
"10565";"0.0.0 ";"GM0213";"2017JJ00";"548";"498";"224"
"10717";"0.0.0 ";"GM0899";"2017JJ00";"1351";"1209";"393"
"10869";"0.0.0 ";"GM0312";"2017JJ00";"508";"467";"244"
"11021";"0.0.0 ";"GM0313";"2017JJ00";"577";"508";"183"
"11173";"0.0.0 ";"GM0214";"2017JJ00";"630";"546";"236"
"11325";"0.0.0 ";"GM0502";"2017JJ00";"3040";"2609";"1094"
"11477";"0.0.0 ";"GM0383";"2017JJ00";"1040";"932";"374"
"11629";"0.0.0 ";"GM0109";"2017JJ00";"1362";"1201";"393"
"11781";"0.0.0 ";"GM1706";"2017JJ00";"746";"634";"260"
"11933";"0.0.0 ";"GM0216";"2017JJ00";"1363";"1265";"551"
"12085";"0.0.0 ";"GM0148";"2017JJ00";"393";"329";"123"
"12237";"0.0.0 ";"GM1891";"2017JJ00";"358";"294";"96"
"12389";"0.0.0 ";"GM0503";"2017JJ00";"6175";"5570";"2829"
"12541";"0.0.0 ";"GM0762";"2017JJ00";"1145";"1029";"415"
"12693";"0.0.0 ";"GM0150";"2017JJ00";"4973";"4392";"1692"
"12845";"0.0.0 ";"GM0384";"2017JJ00";"1514";"1327";"520"
"12997";"0.0.0 ";"GM1980";"2017JJ00";"3214";"2829";"1079"
"13149";"0.0.0 ";"GM1774";"2017JJ00";"472";"411";"168"
"13301";"0.0.0 ";"GM0221";"2017JJ00";"411";"371";"148"
"13453";"0.0.0 ";"GM0222";"2017JJ00";"2166";"1860";"676"
"13605";"0.0.0 ";"GM0766";"2017JJ00";"691";"622";"309"
"13757";"0.0.0 ";"GM0505";"2017JJ00";"6720";"5605";"2178"
"13909";"0.0.0 ";"GM0498";"2017JJ00";"435";"382";"130"
"14061";"0.0.0 ";"GM1719";"2017JJ00";"744";"648";"328"
"14213";"0.0.0 ";"GM0303";"2017JJ00";"1541";"1198";"442"
"14365";"0.0.0 ";"GM0225";"2017JJ00";"529";"488";"261"
"14517";"0.0.0 ";"GM0226";"2017JJ00";"868";"799";"417"
"14669";"0.0.0 ";"GM1711";"2017JJ00";"1151";"988";"362"
"14821";"0.0.0 ";"GM0385";"2017JJ00";"750";"663";"231"
"14973";"0.0.0 ";"GM0228";"2017JJ00";"4826";"4331";"1869"
"15125";"0.0.0 ";"GM0317";"2017JJ00";"311";"280";"128"
"15277";"0.0.0 ";"GM1979";"2017JJ00";"1545";"1330";"324"
"15429";"0.0.0 ";"GM0770";"2017JJ00";"685";"536";"215"
"15581";"0.0.0 ";"GM1903";"2017JJ00";"788";"716";"298"
"15733";"0.0.0 ";"GM0772";"2017JJ00";"18026";"16021";"6269"
"15885";"0.0.0 ";"GM0230";"2017JJ00";"551";"468";"204"
"16037";"0.0.0 ";"GM0114";"2017JJ00";"4085";"3495";"1144"
"16189";"0.0.0 ";"GM0388";"2017JJ00";"743";"685";"258"
"16341";"0.0.0 ";"GM0153";"2017JJ00";"9559";"8595";"3934"
"16493";"0.0.0 ";"GM0232";"2017JJ00";"1149";"986";"368"
"16645";"0.0.0 ";"GM0233";"2017JJ00";"1019";"877";"310"
"16797";"0.0.0 ";"GM0777";"2017JJ00";"1753";"1555";"710"
"16949";"0.0.0 ";"GM1940";"2017JJ00";"1404";"1137";"372"
"17101";"0.0.0 ";"GM0779";"2017JJ00";"915";"794";"391"
"17253";"0.0.0 ";"GM1771";"2017JJ00";"1546";"1354";"565"
"17405";"0.0.0 ";"GM1652";"2017JJ00";"1084";"950";"392"
"17557";"0.0.0 ";"GM0907";"2017JJ00";"489";"438";"179"
"17709";"0.0.0 ";"GM0784";"2017JJ00";"955";"847";"410"
"17861";"0.0.0 ";"GM1924";"2017JJ00";"1223";"1083";"513"
"18013";"0.0.0 ";"GM0664";"2017JJ00";"1586";"1227";"375"
"18165";"0.0.0 ";"GM0785";"2017JJ00";"652";"598";"252"
"18317";"0.0.0 ";"GM1942";"2017JJ00";"2696";"2417";"1136"
"18469";"0.0.0 ";"GM0512";"2017JJ00";"1656";"1385";"593"
"18621";"0.0.0 ";"GM0513";"2017JJ00";"4144";"3661";"1425"
"18773";"0.0.0 ";"GM0518";"2017JJ00";"37379";"30507";"10605"
"18925";"0.0.0 ";"GM0014";"2017JJ00";"14467";"12689";"5244"
"19077";"0.0.0 ";"GM1729";"2017JJ00";"473";"441";"171"
"19229";"0.0.0 ";"GM0158";"2017JJ00";"552";"467";"178"
"19381";"0.0.0 ";"GM0392";"2017JJ00";"8247";"7297";"3279"
"19533";"0.0.0 ";"GM0394";"2017JJ00";"6788";"6015";"2819"
"19685";"0.0.0 ";"GM1655";"2017JJ00";"852";"772";"332"
