"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijven_1";"Aangiften_2";"Internetaangiften_3"
"25";"0.0.0 ";"NL01  ";"2013JJ00";"1078660";"941227";"384431"
"177";"0.0.0 ";"LD01  ";"2013JJ00";"84490";"73654";"27013"
"329";"0.0.0 ";"LD02  ";"2013JJ00";"195550";"173913";"76260"
"481";"0.0.0 ";"LD03  ";"2013JJ00";"560706";"480747";"191169"
"633";"0.0.0 ";"LDG4  ";"2013JJ00";;;
"785";"0.0.0 ";"LD04  ";"2013JJ00";"237886";"212895";"89984"
"937";"0.0.0 ";"LD99  ";"2013JJ00";"28";"18";"5"
"1089";"0.0.0 ";"PV20  ";"2013JJ00";"33756";"29381";"10790"
"1241";"0.0.0 ";"PV21  ";"2013JJ00";"28289";"24400";"8755"
"1393";"0.0.0 ";"PV22  ";"2013JJ00";"22445";"19873";"7468"
"1545";"0.0.0 ";"PV23  ";"2013JJ00";"59897";"53028";"23403"
"1697";"0.0.0 ";"PV24  ";"2013JJ00";"25543";"22172";"8450"
"1849";"0.0.0 ";"PV25  ";"2013JJ00";"110110";"98713";"44407"
"2001";"0.0.0 ";"PV26  ";"2013JJ00";"78113";"70191";"29920"
"2153";"0.0.0 ";"PV27  ";"2013JJ00";"214586";"189625";"72764"
"2305";"0.0.0 ";"PV28  ";"2013JJ00";"249239";"205312";"82875"
"2457";"0.0.0 ";"PV29  ";"2013JJ00";"18768";"15619";"5610"
"2609";"0.0.0 ";"PV30  ";"2013JJ00";"161672";"144278";"65264"
"2761";"0.0.0 ";"PV31  ";"2013JJ00";"76214";"68617";"24720"
"2913";"0.0.0 ";"PV99  ";"2013JJ00";"28";"18";"5"
"3065";"0.0.0 ";"GM1680";"2013JJ00";"755";"670";"264"
"3217";"0.0.0 ";"GM0358";"2013JJ00";"1252";"1138";"444"
"3369";"0.0.0 ";"GM0197";"2013JJ00";"670";"593";"279"
"3521";"0.0.0 ";"GM0059";"2013JJ00";"710";"591";"216"
"3673";"0.0.0 ";"GM0482";"2013JJ00";"756";"617";"266"
"3825";"0.0.0 ";"GM0613";"2013JJ00";"1172";"1067";"572"
"3977";"0.0.0 ";"GM0361";"2013JJ00";"8372";"7532";"3359"
"4129";"0.0.0 ";"GM0141";"2013JJ00";"5250";"4796";"2142"
"4281";"0.0.0 ";"GM0034";"2013JJ00";"14993";"13200";"5029"
"4433";"0.0.0 ";"GM0484";"2013JJ00";"5214";"4700";"2138"
"4585";"0.0.0 ";"GM1723";"2013JJ00";"549";"505";"209"
"4737";"0.0.0 ";"GM1959";"2013JJ00";"2057";"1794";"906"
"4889";"0.0.0 ";"GM0060";"2013JJ00";"145";"119";"42"
"5041";"0.0.0 ";"GM0307";"2013JJ00";"10429";"9469";"3838"
"5193";"0.0.0 ";"GM0362";"2013JJ00";"5014";"4547";"1784"
"5345";"0.0.0 ";"GM0363";"2013JJ00";"100503";"87124";"30878"
"5497";"0.0.0 ";"GM0200";"2013JJ00";"10568";"9426";"4222"
"5649";"0.0.0 ";"GM0202";"2013JJ00";"13988";"12624";"5264"
"5801";"0.0.0 ";"GM0106";"2013JJ00";"4611";"4150";"1607"
"5953";"0.0.0 ";"GM0743";"2013JJ00";"818";"741";"317"
"6105";"0.0.0 ";"GM0744";"2013JJ00";"322";"280";"121"
"6257";"0.0.0 ";"GM0308";"2013JJ00";"1313";"1165";"501"
"6409";"0.0.0 ";"GM0489";"2013JJ00";"2012";"1732";"881"
"6561";"0.0.0 ";"GM0203";"2013JJ00";"2319";"2001";"897"
"6713";"0.0.0 ";"GM0888";"2013JJ00";"1156";"1050";"405"
"6865";"0.0.0 ";"GM1954";"2013JJ00";"1608";"1483";"491"
"7017";"0.0.0 ";"GM0889";"2013JJ00";"578";"522";"199"
"7169";"0.0.0 ";"GM1945";"2013JJ00";"1351";"1210";"524"
"7321";"0.0.0 ";"GM1724";"2013JJ00";"865";"799";"329"
"7473";"0.0.0 ";"GM0893";"2013JJ00";"521";"462";"184"
"7625";"0.0.0 ";"GM0373";"2013JJ00";"1311";"1166";"445"
"7777";"0.0.0 ";"GM0748";"2013JJ00";"4689";"4167";"1948"
"7929";"0.0.0 ";"GM1859";"2013JJ00";"1427";"1258";"537"
"8081";"0.0.0 ";"GM1721";"2013JJ00";"1305";"1168";"575"
"8233";"0.0.0 ";"GM0753";"2013JJ00";"1561";"1408";"679"
"8385";"0.0.0 ";"GM0209";"2013JJ00";"1104";"1030";"497"
"8537";"0.0.0 ";"GM0375";"2013JJ00";"2890";"2583";"749"
"8689";"0.0.0 ";"GM0310";"2013JJ00";"1878";"1718";"693"
"8841";"0.0.0 ";"GM1728";"2013JJ00";"922";"841";"389"
"8993";"0.0.0 ";"GM0376";"2013JJ00";"490";"453";"224"
"9145";"0.0.0 ";"GM0377";"2013JJ00";"1462";"1262";"558"
"9297";"0.0.0 ";"GM1901";"2013JJ00";"1491";"1358";"740"
"9449";"0.0.0 ";"GM0755";"2013JJ00";"316";"290";"129"
"9601";"0.0.0 ";"GM1681";"2013JJ00";"633";"536";"199"
"9753";"0.0.0 ";"GM0147";"2013JJ00";"708";"627";"231"
"9905";"0.0.0 ";"GM0654";"2013JJ00";"527";"464";"175"
"10057";"0.0.0 ";"GM0757";"2013JJ00";"1790";"1624";"780"
"10209";"0.0.0 ";"GM0758";"2013JJ00";"15441";"13266";"5960"
"10361";"0.0.0 ";"GM1876";"2013JJ00";"1049";"929";"430"
"10513";"0.0.0 ";"GM0213";"2013JJ00";"1033";"958";"400"
"10665";"0.0.0 ";"GM0899";"2013JJ00";"1886";"1726";"485"
"10817";"0.0.0 ";"GM0312";"2013JJ00";"654";"592";"243"
"10969";"0.0.0 ";"GM0313";"2013JJ00";"640";"568";"252"
"11121";"0.0.0 ";"GM0214";"2013JJ00";"916";"789";"333"
"11273";"0.0.0 ";"GM0502";"2013JJ00";"3975";"3433";"1338"
"11425";"0.0.0 ";"GM0383";"2013JJ00";"1554";"1467";"603"
"11577";"0.0.0 ";"GM0109";"2013JJ00";"1682";"1464";"547"
"11729";"0.0.0 ";"GM1706";"2013JJ00";"928";"810";"344"
"11881";"0.0.0 ";"GM0216";"2013JJ00";"1865";"1721";"688"
"12033";"0.0.0 ";"GM0148";"2013JJ00";"682";"595";"226"
"12185";"0.0.0 ";"GM1891";"2013JJ00";"455";"383";"135"
"12337";"0.0.0 ";"GM0503";"2013JJ00";"7254";"5968";"2739"
"12489";"0.0.0 ";"GM0762";"2013JJ00";"1710";"1539";"688"
"12641";"0.0.0 ";"GM0150";"2013JJ00";"6623";"5926";"2612"
"12793";"0.0.0 ";"GM0384";"2013JJ00";"1781";"1633";"591"
"12945";"0.0.0 ";"GM1980";"2013JJ00";"4689";"4342";"2025"
"13097";"0.0.0 ";"GM1774";"2013JJ00";"685";"598";"269"
"13249";"0.0.0 ";"GM0221";"2013JJ00";"531";"486";"216"
"13401";"0.0.0 ";"GM0222";"2013JJ00";"3134";"2847";"1212"
"13553";"0.0.0 ";"GM0766";"2013JJ00";"1050";"963";"535"
"13705";"0.0.0 ";"GM0505";"2013JJ00";"9040";"7107";"3068"
"13857";"0.0.0 ";"GM0498";"2013JJ00";"768";"717";"359"
"14009";"0.0.0 ";"GM1719";"2013JJ00";"993";"903";"457"
"14161";"0.0.0 ";"GM0303";"2013JJ00";"2084";"1721";"726"
"14313";"0.0.0 ";"GM0225";"2013JJ00";"641";"582";"277"
"14465";"0.0.0 ";"GM0226";"2013JJ00";"1191";"1113";"568"
"14617";"0.0.0 ";"GM1711";"2013JJ00";"1613";"1381";"583"
"14769";"0.0.0 ";"GM0385";"2013JJ00";"1220";"1096";"355"
"14921";"0.0.0 ";"GM0228";"2013JJ00";"5687";"5168";"2249"
"15073";"0.0.0 ";"GM0317";"2013JJ00";"389";"342";"174"
"15225";"0.0.0 ";"GM1979";"2013JJ00";"1727";"1478";"381"
"15377";"0.0.0 ";"GM0770";"2013JJ00";"953";"781";"257"
"15529";"0.0.0 ";"GM1903";"2013JJ00";"1078";"988";"440"
"15681";"0.0.0 ";"GM0772";"2013JJ00";"25270";"22844";"10016"
"15833";"0.0.0 ";"GM0230";"2013JJ00";"816";"692";"317"
"15985";"0.0.0 ";"GM0114";"2013JJ00";"5668";"4997";"1931"
"16137";"0.0.0 ";"GM0388";"2013JJ00";"1249";"1163";"624"
"16289";"0.0.0 ";"GM0153";"2013JJ00";"14045";"12400";"5965"
"16441";"0.0.0 ";"GM0232";"2013JJ00";"1404";"1221";"498"
"16593";"0.0.0 ";"GM0233";"2013JJ00";"1379";"1213";"508"
"16745";"0.0.0 ";"GM0777";"2013JJ00";"2430";"2215";"1216"
"16897";"0.0.0 ";"GM1940";"2013JJ00";"1741";"1553";"478"
